X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
567.099560	4205.000000	567.099560	4201.000000	567.099560	5463.000000	567.099560	5327.000000	567.099560	5110.000000	567.099560	4388.000000	567.099560	4180.000000	567.099560	10497.000000	567.099560	7495.000000	567.099560	6430.000000	567.099560	5987.000000	567.099560	4972.000000	567.099560	4144.000000	567.099560	3814.000000	567.099560	3618.000000	567.099560	4948.000000	567.099560	4193.000000	567.099560	3399.000000	567.099560	3080.000000	567.099560	6697.000000	567.099560	5727.000000	567.099560	5514.000000
567.819908	4236.000000	567.819908	4151.000000	567.819908	5552.000000	567.819908	5197.000000	567.819908	5077.000000	567.819908	4455.000000	567.819908	4224.000000	567.819908	10545.000000	567.819908	7292.000000	567.819908	6499.000000	567.819908	5902.000000	567.819908	4935.000000	567.819908	4175.000000	567.819908	3763.000000	567.819908	3717.000000	567.819908	4952.000000	567.819908	4119.000000	567.819908	3338.000000	567.819908	3035.000000	567.819908	6763.000000	567.819908	5790.000000	567.819908	5555.000000
568.540193	4156.000000	568.540193	4196.000000	568.540193	5465.000000	568.540193	5261.000000	568.540193	5111.000000	568.540193	4422.000000	568.540193	4245.000000	568.540193	10433.000000	568.540193	7326.000000	568.540193	6379.000000	568.540193	5994.000000	568.540193	4988.000000	568.540193	4124.000000	568.540193	3794.000000	568.540193	3595.000000	568.540193	4742.000000	568.540193	4086.000000	568.540193	3380.000000	568.540193	2979.000000	568.540193	6675.000000	568.540193	5710.000000	568.540193	5374.000000
569.260414	4073.000000	569.260414	4081.000000	569.260414	5506.000000	569.260414	5131.000000	569.260414	5072.000000	569.260414	4314.000000	569.260414	4203.000000	569.260414	10313.000000	569.260414	7373.000000	569.260414	6386.000000	569.260414	5929.000000	569.260414	4859.000000	569.260414	4082.000000	569.260414	3779.000000	569.260414	3580.000000	569.260414	4788.000000	569.260414	4105.000000	569.260414	3290.000000	569.260414	3019.000000	569.260414	6729.000000	569.260414	5749.000000	569.260414	5301.000000
569.980571	4135.000000	569.980571	4029.000000	569.980571	5299.000000	569.980571	5186.000000	569.980571	4915.000000	569.980571	4252.000000	569.980571	4145.000000	569.980571	10260.000000	569.980571	7339.000000	569.980571	6449.000000	569.980571	5835.000000	569.980571	4955.000000	569.980571	4143.000000	569.980571	3742.000000	569.980571	3558.000000	569.980571	4806.000000	569.980571	4113.000000	569.980571	3273.000000	569.980571	3043.000000	569.980571	6556.000000	569.980571	5616.000000	569.980571	5302.000000
570.700664	4024.000000	570.700664	3968.000000	570.700664	5352.000000	570.700664	5117.000000	570.700664	4970.000000	570.700664	4331.000000	570.700664	4119.000000	570.700664	10312.000000	570.700664	7315.000000	570.700664	6242.000000	570.700664	6039.000000	570.700664	5065.000000	570.700664	4027.000000	570.700664	3794.000000	570.700664	3615.000000	570.700664	4793.000000	570.700664	4019.000000	570.700664	3323.000000	570.700664	2956.000000	570.700664	6617.000000	570.700664	5607.000000	570.700664	5343.000000
571.420694	4003.000000	571.420694	3904.000000	571.420694	5332.000000	571.420694	5032.000000	571.420694	4935.000000	571.420694	4291.000000	571.420694	4176.000000	571.420694	10362.000000	571.420694	7312.000000	571.420694	6355.000000	571.420694	5885.000000	571.420694	4927.000000	571.420694	4138.000000	571.420694	3843.000000	571.420694	3665.000000	571.420694	4788.000000	571.420694	4020.000000	571.420694	3323.000000	571.420694	2955.000000	571.420694	6559.000000	571.420694	5530.000000	571.420694	5239.000000
572.140660	4043.000000	572.140660	3861.000000	572.140660	5284.000000	572.140660	4918.000000	572.140660	4829.000000	572.140660	4233.000000	572.140660	4029.000000	572.140660	10386.000000	572.140660	7250.000000	572.140660	6474.000000	572.140660	5825.000000	572.140660	4983.000000	572.140660	4167.000000	572.140660	3773.000000	572.140660	3489.000000	572.140660	4829.000000	572.140660	3956.000000	572.140660	3270.000000	572.140660	2975.000000	572.140660	6549.000000	572.140660	5527.000000	572.140660	5212.000000
572.860562	3947.000000	572.860562	3849.000000	572.860562	5243.000000	572.860562	4961.000000	572.860562	4935.000000	572.860562	4227.000000	572.860562	4034.000000	572.860562	10292.000000	572.860562	7255.000000	572.860562	6314.000000	572.860562	5744.000000	572.860562	4816.000000	572.860562	4165.000000	572.860562	3699.000000	572.860562	3639.000000	572.860562	4740.000000	572.860562	4011.000000	572.860562	3233.000000	572.860562	2982.000000	572.860562	6457.000000	572.860562	5621.000000	572.860562	5224.000000
573.580401	3903.000000	573.580401	3919.000000	573.580401	5201.000000	573.580401	4990.000000	573.580401	4819.000000	573.580401	4147.000000	573.580401	3972.000000	573.580401	10318.000000	573.580401	7222.000000	573.580401	6301.000000	573.580401	5787.000000	573.580401	4901.000000	573.580401	4124.000000	573.580401	3795.000000	573.580401	3603.000000	573.580401	4584.000000	573.580401	4002.000000	573.580401	3229.000000	573.580401	2993.000000	573.580401	6498.000000	573.580401	5455.000000	573.580401	5186.000000
