X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
567.099560	3345.000000	567.099560	4862.000000	567.099560	15492.000000	567.099560	11241.000000	567.099560	11971.000000	567.099560	9319.000000	567.099560	9619.000000	567.099560	10973.000000	567.099560	9401.000000	567.099560	17282.000000	567.099560	13618.000000	567.099560	6272.000000	567.099560	5490.000000	567.099560	4276.000000	567.099560	9496.000000	567.099560	6365.000000	567.099560	5947.000000	567.099560	8427.000000
567.819908	3274.000000	567.819908	4831.000000	567.819908	15525.000000	567.819908	11147.000000	567.819908	11883.000000	567.819908	9202.000000	567.819908	9555.000000	567.819908	10905.000000	567.819908	9294.000000	567.819908	16944.000000	567.819908	13698.000000	567.819908	6189.000000	567.819908	5433.000000	567.819908	4192.000000	567.819908	9597.000000	567.819908	6217.000000	567.819908	5847.000000	567.819908	8323.000000
568.540193	3277.000000	568.540193	4841.000000	568.540193	15543.000000	568.540193	11164.000000	568.540193	11938.000000	568.540193	9287.000000	568.540193	9535.000000	568.540193	10828.000000	568.540193	9477.000000	568.540193	16948.000000	568.540193	13381.000000	568.540193	6115.000000	568.540193	5399.000000	568.540193	4330.000000	568.540193	9576.000000	568.540193	6399.000000	568.540193	5909.000000	568.540193	8394.000000
569.260414	3160.000000	569.260414	4698.000000	569.260414	15352.000000	569.260414	11071.000000	569.260414	11778.000000	569.260414	9314.000000	569.260414	9375.000000	569.260414	10724.000000	569.260414	9272.000000	569.260414	17142.000000	569.260414	13531.000000	569.260414	6244.000000	569.260414	5353.000000	569.260414	4253.000000	569.260414	9433.000000	569.260414	6318.000000	569.260414	5956.000000	569.260414	8376.000000
569.980571	3191.000000	569.980571	4705.000000	569.980571	15430.000000	569.980571	11114.000000	569.980571	11750.000000	569.980571	9248.000000	569.980571	9439.000000	569.980571	10827.000000	569.980571	9320.000000	569.980571	17110.000000	569.980571	13596.000000	569.980571	6304.000000	569.980571	5428.000000	569.980571	4291.000000	569.980571	9430.000000	569.980571	6368.000000	569.980571	5925.000000	569.980571	8315.000000
570.700664	3191.000000	570.700664	4702.000000	570.700664	15429.000000	570.700664	11164.000000	570.700664	11782.000000	570.700664	9083.000000	570.700664	9509.000000	570.700664	11002.000000	570.700664	9310.000000	570.700664	17121.000000	570.700664	13457.000000	570.700664	6300.000000	570.700664	5422.000000	570.700664	4189.000000	570.700664	9537.000000	570.700664	6334.000000	570.700664	5896.000000	570.700664	8356.000000
571.420694	3240.000000	571.420694	4691.000000	571.420694	15363.000000	571.420694	11114.000000	571.420694	11841.000000	571.420694	9214.000000	571.420694	9518.000000	571.420694	10847.000000	571.420694	9377.000000	571.420694	16892.000000	571.420694	13514.000000	571.420694	6276.000000	571.420694	5386.000000	571.420694	4204.000000	571.420694	9414.000000	571.420694	6384.000000	571.420694	5955.000000	571.420694	8268.000000
572.140660	3137.000000	572.140660	4626.000000	572.140660	15435.000000	572.140660	11298.000000	572.140660	11875.000000	572.140660	9205.000000	572.140660	9287.000000	572.140660	10736.000000	572.140660	9259.000000	572.140660	16879.000000	572.140660	13569.000000	572.140660	6173.000000	572.140660	5353.000000	572.140660	4216.000000	572.140660	9548.000000	572.140660	6284.000000	572.140660	6005.000000	572.140660	8362.000000
572.860562	3210.000000	572.860562	4618.000000	572.860562	15443.000000	572.860562	11089.000000	572.860562	11797.000000	572.860562	9095.000000	572.860562	9380.000000	572.860562	10781.000000	572.860562	9217.000000	572.860562	16839.000000	572.860562	13467.000000	572.860562	6207.000000	572.860562	5467.000000	572.860562	4344.000000	572.860562	9523.000000	572.860562	6303.000000	572.860562	5890.000000	572.860562	8295.000000
573.580401	3215.000000	573.580401	4566.000000	573.580401	15395.000000	573.580401	11162.000000	573.580401	11845.000000	573.580401	9168.000000	573.580401	9304.000000	573.580401	10748.000000	573.580401	9324.000000	573.580401	16888.000000	573.580401	13487.000000	573.580401	6207.000000	573.580401	5465.000000	573.580401	4169.000000	573.580401	9561.000000	573.580401	6301.000000	573.580401	5981.000000	573.580401	8416.000000
