X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
567.099560	1503.000000	567.099560	1924.000000	567.099560	1715.000000	567.099560	39087.000000	567.099560	1600.000000	567.099560	1547.000000	567.099560	1452.000000	567.099560	2324.000000	567.099560	2189.000000	567.099560	2233.000000	567.099560	2949.000000	567.099560	2303.000000	567.099560	2669.000000	567.099560	2243.000000
567.819908	1468.000000	567.819908	1880.000000	567.819908	1729.000000	567.819908	39080.000000	567.819908	1606.000000	567.819908	1562.000000	567.819908	1425.000000	567.819908	2284.000000	567.819908	2112.000000	567.819908	2333.000000	567.819908	2956.000000	567.819908	2378.000000	567.819908	2709.000000	567.819908	2218.000000
568.540193	1502.000000	568.540193	1928.000000	568.540193	1710.000000	568.540193	38944.000000	568.540193	1620.000000	568.540193	1521.000000	568.540193	1462.000000	568.540193	2272.000000	568.540193	2128.000000	568.540193	2223.000000	568.540193	3022.000000	568.540193	2347.000000	568.540193	2606.000000	568.540193	2163.000000
569.260414	1490.000000	569.260414	1855.000000	569.260414	1717.000000	569.260414	39075.000000	569.260414	1621.000000	569.260414	1433.000000	569.260414	1491.000000	569.260414	2227.000000	569.260414	2094.000000	569.260414	2240.000000	569.260414	2894.000000	569.260414	2376.000000	569.260414	2706.000000	569.260414	2272.000000
569.980571	1485.000000	569.980571	1854.000000	569.980571	1655.000000	569.980571	39406.000000	569.980571	1639.000000	569.980571	1464.000000	569.980571	1477.000000	569.980571	2183.000000	569.980571	2084.000000	569.980571	2260.000000	569.980571	2883.000000	569.980571	2374.000000	569.980571	2683.000000	569.980571	2212.000000
570.700664	1464.000000	570.700664	1890.000000	570.700664	1682.000000	570.700664	39041.000000	570.700664	1581.000000	570.700664	1566.000000	570.700664	1454.000000	570.700664	2269.000000	570.700664	2082.000000	570.700664	2151.000000	570.700664	2910.000000	570.700664	2282.000000	570.700664	2651.000000	570.700664	2233.000000
571.420694	1447.000000	571.420694	1943.000000	571.420694	1682.000000	571.420694	39257.000000	571.420694	1631.000000	571.420694	1515.000000	571.420694	1467.000000	571.420694	2231.000000	571.420694	2067.000000	571.420694	2233.000000	571.420694	2929.000000	571.420694	2387.000000	571.420694	2634.000000	571.420694	2191.000000
572.140660	1535.000000	572.140660	1870.000000	572.140660	1766.000000	572.140660	39524.000000	572.140660	1582.000000	572.140660	1545.000000	572.140660	1449.000000	572.140660	2250.000000	572.140660	2105.000000	572.140660	2190.000000	572.140660	2892.000000	572.140660	2346.000000	572.140660	2555.000000	572.140660	2218.000000
572.860562	1479.000000	572.860562	1886.000000	572.860562	1686.000000	572.860562	39241.000000	572.860562	1645.000000	572.860562	1502.000000	572.860562	1476.000000	572.860562	2203.000000	572.860562	2038.000000	572.860562	2192.000000	572.860562	2904.000000	572.860562	2282.000000	572.860562	2672.000000	572.860562	2182.000000
573.580401	1517.000000	573.580401	1878.000000	573.580401	1680.000000	573.580401	39143.000000	573.580401	1611.000000	573.580401	1491.000000	573.580401	1516.000000	573.580401	2244.000000	573.580401	2127.000000	573.580401	2252.000000	573.580401	2954.000000	573.580401	2330.000000	573.580401	2684.000000	573.580401	2130.000000
