X	Y
686.518672	2056.000000
687.228457	2038.000000
687.938181	2112.000000
688.647841	2049.000000
689.357439	2079.000000
690.066974	2054.000000
690.776446	2040.000000
691.485856	2046.000000
692.195202	2051.000000
692.904487	2094.000000
693.613708	2049.000000
694.322867	2057.000000
695.031963	2094.000000
695.740996	2114.000000
696.449967	2006.000000
697.158875	2064.000000
697.867721	2080.000000
698.576504	2031.000000
699.285224	2065.000000
699.993881	2137.000000
700.702476	2097.000000
701.411009	2053.000000
702.119478	2055.000000
702.827885	2085.000000
703.536230	2052.000000
704.244512	2062.000000
704.952731	2106.000000
705.660888	2087.000000
706.368982	2086.000000
707.077014	2053.000000
707.784983	2100.000000
708.492889	2184.000000
709.200733	2092.000000
709.908514	2068.000000
710.616233	2083.000000
711.323889	2104.000000
712.031483	2057.000000
712.739014	1972.000000
713.446483	2052.000000
714.153889	2150.000000
714.861233	2084.000000
715.568514	2146.000000
716.275733	2056.000000
716.982889	2062.000000
717.689983	2136.000000
718.397014	2104.000000
719.103983	2098.000000
719.810889	2085.000000
720.517733	2096.000000
721.224515	2119.000000
721.931233	2084.000000
722.637890	2105.000000
723.344484	2162.000000
724.051016	2065.000000
724.757485	2123.000000
725.463892	2096.000000
726.170236	2076.000000
726.876518	2064.000000
727.582738	2162.000000
728.288895	2115.000000
728.994990	2098.000000
729.701023	2114.000000
730.406993	2103.000000
731.112900	2136.000000
731.818746	2025.000000
732.524529	2137.000000
733.230250	2139.000000
733.935908	2140.000000
734.641504	2109.000000
735.347038	2110.000000
736.052509	2137.000000
736.757918	2146.000000
737.463265	2019.000000
738.168549	2095.000000
738.873771	2082.000000
739.578931	2083.000000
740.284028	2058.000000
740.989064	2103.000000
741.694037	2063.000000
742.398947	2147.000000
743.103796	2090.000000
743.808582	2112.000000
744.513306	2076.000000
745.217968	2086.000000
745.922567	2137.000000
746.627104	2152.000000
747.331579	2118.000000
748.035992	2075.000000
748.740343	2120.000000
749.444631	2134.000000
750.148857	2097.000000
750.853021	2145.000000
751.557123	2122.000000
752.261162	2165.000000
752.965140	2170.000000
753.669055	2106.000000
754.372908	2162.000000
