X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
580.056081	5131.000000	580.056081	5687.000000	580.056081	5091.000000	580.056081	4758.000000	580.056081	4772.000000	580.056081	5276.000000	580.056081	5003.000000	580.056081	4162.000000	580.056081	4665.000000	580.056081	2962.000000	580.056081	4849.000000
580.775283	5148.000000	580.775283	5647.000000	580.775283	5017.000000	580.775283	4733.000000	580.775283	4761.000000	580.775283	5162.000000	580.775283	4981.000000	580.775283	4073.000000	580.775283	4667.000000	580.775283	3010.000000	580.775283	4947.000000
581.494421	5091.000000	581.494421	5509.000000	581.494421	5079.000000	581.494421	4743.000000	581.494421	4760.000000	581.494421	5307.000000	581.494421	5058.000000	581.494421	4032.000000	581.494421	4725.000000	581.494421	2980.000000	581.494421	4738.000000
582.213495	5152.000000	582.213495	5551.000000	582.213495	5127.000000	582.213495	4698.000000	582.213495	4716.000000	582.213495	5158.000000	582.213495	5017.000000	582.213495	4020.000000	582.213495	4557.000000	582.213495	3002.000000	582.213495	4791.000000
582.932506	5096.000000	582.932506	5671.000000	582.932506	4974.000000	582.932506	4732.000000	582.932506	4662.000000	582.932506	5255.000000	582.932506	4949.000000	582.932506	3985.000000	582.932506	4592.000000	582.932506	2960.000000	582.932506	4795.000000
583.651453	5009.000000	583.651453	5574.000000	583.651453	4961.000000	583.651453	4774.000000	583.651453	4733.000000	583.651453	5118.000000	583.651453	4965.000000	583.651453	4017.000000	583.651453	4581.000000	583.651453	2975.000000	583.651453	4802.000000
584.370336	5023.000000	584.370336	5545.000000	584.370336	5040.000000	584.370336	4768.000000	584.370336	4726.000000	584.370336	5137.000000	584.370336	4934.000000	584.370336	3978.000000	584.370336	4567.000000	584.370336	2943.000000	584.370336	4718.000000
585.089156	5049.000000	585.089156	5493.000000	585.089156	4898.000000	585.089156	4692.000000	585.089156	4701.000000	585.089156	5124.000000	585.089156	4982.000000	585.089156	3993.000000	585.089156	4546.000000	585.089156	2895.000000	585.089156	4753.000000
585.807912	4981.000000	585.807912	5621.000000	585.807912	4987.000000	585.807912	4707.000000	585.807912	4739.000000	585.807912	5145.000000	585.807912	4991.000000	585.807912	4062.000000	585.807912	4661.000000	585.807912	2915.000000	585.807912	4720.000000
586.526605	5031.000000	586.526605	5507.000000	586.526605	4981.000000	586.526605	4698.000000	586.526605	4709.000000	586.526605	5135.000000	586.526605	5006.000000	586.526605	3994.000000	586.526605	4628.000000	586.526605	2905.000000	586.526605	4677.000000
587.245234	4978.000000	587.245234	5375.000000	587.245234	4995.000000	587.245234	4639.000000	587.245234	4698.000000	587.245234	5144.000000	587.245234	4927.000000	587.245234	3933.000000	587.245234	4501.000000	587.245234	2917.000000	587.245234	4786.000000
587.963800	4960.000000	587.963800	5461.000000	587.963800	4948.000000	587.963800	4700.000000	587.963800	4638.000000	587.963800	5102.000000	587.963800	4900.000000	587.963800	3962.000000	587.963800	4577.000000	587.963800	2833.000000	587.963800	4790.000000
588.682301	5014.000000	588.682301	5489.000000	588.682301	4928.000000	588.682301	4651.000000	588.682301	4702.000000	588.682301	5129.000000	588.682301	4905.000000	588.682301	3884.000000	588.682301	4610.000000	588.682301	2876.000000	588.682301	4692.000000
589.400740	4934.000000	589.400740	5489.000000	589.400740	4824.000000	589.400740	4622.000000	589.400740	4589.000000	589.400740	5086.000000	589.400740	4872.000000	589.400740	3990.000000	589.400740	4521.000000	589.400740	2941.000000	589.400740	4661.000000
590.119115	4956.000000	590.119115	5457.000000	590.119115	4955.000000	590.119115	4646.000000	590.119115	4682.000000	590.119115	4970.000000	590.119115	4852.000000	590.119115	3943.000000	590.119115	4549.000000	590.119115	2884.000000	590.119115	4598.000000
590.837426	4864.000000	590.837426	5402.000000	590.837426	4926.000000	590.837426	4667.000000	590.837426	4661.000000	590.837426	5169.000000	590.837426	4915.000000	590.837426	3919.000000	590.837426	4540.000000	590.837426	2956.000000	590.837426	4759.000000
591.555673	4832.000000	591.555673	5470.000000	591.555673	4832.000000	591.555673	4759.000000	591.555673	4625.000000	591.555673	5160.000000	591.555673	4990.000000	591.555673	3946.000000	591.555673	4589.000000	591.555673	2847.000000	591.555673	4725.000000
592.273857	4879.000000	592.273857	5373.000000	592.273857	4807.000000	592.273857	4664.000000	592.273857	4680.000000	592.273857	5096.000000	592.273857	4872.000000	592.273857	3982.000000	592.273857	4518.000000	592.273857	2888.000000	592.273857	4654.000000
592.991978	4787.000000	592.991978	5354.000000	592.991978	4884.000000	592.991978	4586.000000	592.991978	4629.000000	592.991978	5044.000000	592.991978	4970.000000	592.991978	4044.000000	592.991978	4527.000000	592.991978	2839.000000	592.991978	4652.000000
