X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
582.213495	3575.000000	582.213495	2461.000000	582.213495	3175.000000	582.213495	5036.000000	582.213495	4402.000000	582.213495	4187.000000	582.213495	4044.000000	582.213495	3956.000000	582.213495	2927.000000	582.213495	2893.000000
582.932506	3551.000000	582.932506	2552.000000	582.932506	3171.000000	582.932506	5032.000000	582.932506	4458.000000	582.932506	4110.000000	582.932506	4079.000000	582.932506	3928.000000	582.932506	2902.000000	582.932506	2895.000000
583.651453	3552.000000	583.651453	2440.000000	583.651453	3279.000000	583.651453	5106.000000	583.651453	4377.000000	583.651453	4186.000000	583.651453	4021.000000	583.651453	3920.000000	583.651453	2993.000000	583.651453	2898.000000
584.370336	3523.000000	584.370336	2410.000000	584.370336	3239.000000	584.370336	5101.000000	584.370336	4378.000000	584.370336	4149.000000	584.370336	4000.000000	584.370336	3912.000000	584.370336	2971.000000	584.370336	2879.000000
585.089156	3543.000000	585.089156	2455.000000	585.089156	3227.000000	585.089156	4972.000000	585.089156	4289.000000	585.089156	4150.000000	585.089156	4092.000000	585.089156	3885.000000	585.089156	3017.000000	585.089156	2825.000000
585.807912	3509.000000	585.807912	2407.000000	585.807912	3131.000000	585.807912	5000.000000	585.807912	4377.000000	585.807912	4176.000000	585.807912	4018.000000	585.807912	3854.000000	585.807912	2932.000000	585.807912	2819.000000
586.526605	3463.000000	586.526605	2462.000000	586.526605	3184.000000	586.526605	4974.000000	586.526605	4416.000000	586.526605	4202.000000	586.526605	3984.000000	586.526605	3941.000000	586.526605	2945.000000	586.526605	2886.000000
587.245234	3543.000000	587.245234	2431.000000	587.245234	3132.000000	587.245234	4970.000000	587.245234	4184.000000	587.245234	4082.000000	587.245234	3949.000000	587.245234	3863.000000	587.245234	2824.000000	587.245234	2831.000000
587.963800	3562.000000	587.963800	2459.000000	587.963800	3190.000000	587.963800	5015.000000	587.963800	4326.000000	587.963800	4068.000000	587.963800	3912.000000	587.963800	3902.000000	587.963800	2877.000000	587.963800	2900.000000
588.682301	3537.000000	588.682301	2433.000000	588.682301	3206.000000	588.682301	4870.000000	588.682301	4313.000000	588.682301	4063.000000	588.682301	3972.000000	588.682301	3850.000000	588.682301	2867.000000	588.682301	2772.000000
589.400740	3492.000000	589.400740	2404.000000	589.400740	3105.000000	589.400740	4928.000000	589.400740	4319.000000	589.400740	4150.000000	589.400740	3946.000000	589.400740	3925.000000	589.400740	2890.000000	589.400740	2858.000000
590.119115	3521.000000	590.119115	2416.000000	590.119115	3118.000000	590.119115	4940.000000	590.119115	4292.000000	590.119115	3990.000000	590.119115	3824.000000	590.119115	3873.000000	590.119115	2913.000000	590.119115	2818.000000
590.837426	3526.000000	590.837426	2375.000000	590.837426	3110.000000	590.837426	4963.000000	590.837426	4347.000000	590.837426	3956.000000	590.837426	3858.000000	590.837426	3825.000000	590.837426	2856.000000	590.837426	2780.000000
591.555673	3497.000000	591.555673	2410.000000	591.555673	3075.000000	591.555673	4840.000000	591.555673	4227.000000	591.555673	4012.000000	591.555673	3818.000000	591.555673	3819.000000	591.555673	2885.000000	591.555673	2735.000000
592.273857	3488.000000	592.273857	2408.000000	592.273857	3083.000000	592.273857	4903.000000	592.273857	4151.000000	592.273857	4022.000000	592.273857	3872.000000	592.273857	3785.000000	592.273857	2841.000000	592.273857	2722.000000
592.991978	3500.000000	592.991978	2393.000000	592.991978	3086.000000	592.991978	4863.000000	592.991978	4248.000000	592.991978	4090.000000	592.991978	3916.000000	592.991978	3779.000000	592.991978	2793.000000	592.991978	2753.000000
593.710035	3523.000000	593.710035	2460.000000	593.710035	3073.000000	593.710035	4899.000000	593.710035	4260.000000	593.710035	3960.000000	593.710035	3904.000000	593.710035	3808.000000	593.710035	2797.000000	593.710035	2748.000000
594.428028	3456.000000	594.428028	2316.000000	594.428028	3128.000000	594.428028	4944.000000	594.428028	4263.000000	594.428028	4018.000000	594.428028	3852.000000	594.428028	3816.000000	594.428028	2826.000000	594.428028	2741.000000
595.145958	3492.000000	595.145958	2382.000000	595.145958	3082.000000	595.145958	4913.000000	595.145958	4207.000000	595.145958	3925.000000	595.145958	3885.000000	595.145958	3791.000000	595.145958	2820.000000	595.145958	2846.000000
595.863824	3453.000000	595.863824	2386.000000	595.863824	3080.000000	595.863824	4901.000000	595.863824	4208.000000	595.863824	3947.000000	595.863824	3831.000000	595.863824	3783.000000	595.863824	2763.000000	595.863824	2743.000000
