X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
574.300176	6172.000000	574.300176	5230.000000	574.300176	5088.000000	574.300176	4804.000000	574.300176	5136.000000	574.300176	4194.000000	574.300176	7444.000000	574.300176	5290.000000	574.300176	4676.000000	574.300176	4183.000000	574.300176	4085.000000
575.019887	6176.000000	575.019887	5238.000000	575.019887	4953.000000	575.019887	4713.000000	575.019887	5166.000000	575.019887	4085.000000	575.019887	7411.000000	575.019887	5269.000000	575.019887	4664.000000	575.019887	4269.000000	575.019887	3963.000000
575.739534	6069.000000	575.739534	5098.000000	575.739534	4787.000000	575.739534	4811.000000	575.739534	5038.000000	575.739534	4049.000000	575.739534	7340.000000	575.739534	5212.000000	575.739534	4573.000000	575.739534	4272.000000	575.739534	4137.000000
576.459118	6260.000000	576.459118	5045.000000	576.459118	4844.000000	576.459118	4642.000000	576.459118	5016.000000	576.459118	3997.000000	576.459118	7284.000000	576.459118	5209.000000	576.459118	4609.000000	576.459118	4274.000000	576.459118	3995.000000
577.178638	6062.000000	577.178638	5132.000000	577.178638	4757.000000	577.178638	4573.000000	577.178638	5133.000000	577.178638	4004.000000	577.178638	7362.000000	577.178638	5180.000000	577.178638	4554.000000	577.178638	4246.000000	577.178638	4051.000000
577.898094	6153.000000	577.898094	5107.000000	577.898094	4803.000000	577.898094	4644.000000	577.898094	5029.000000	577.898094	3991.000000	577.898094	7173.000000	577.898094	5228.000000	577.898094	4519.000000	577.898094	4222.000000	577.898094	3964.000000
578.617487	6083.000000	578.617487	5002.000000	578.617487	4724.000000	578.617487	4547.000000	578.617487	5013.000000	578.617487	3947.000000	578.617487	7328.000000	578.617487	5276.000000	578.617487	4500.000000	578.617487	4241.000000	578.617487	4032.000000
579.336816	5967.000000	579.336816	4992.000000	579.336816	4781.000000	579.336816	4620.000000	579.336816	4893.000000	579.336816	3960.000000	579.336816	7223.000000	579.336816	5219.000000	579.336816	4573.000000	579.336816	4183.000000	579.336816	3888.000000
580.056081	6082.000000	580.056081	4967.000000	580.056081	4729.000000	580.056081	4547.000000	580.056081	5003.000000	580.056081	3856.000000	580.056081	7203.000000	580.056081	5139.000000	580.056081	4571.000000	580.056081	4150.000000	580.056081	3887.000000
580.775283	6075.000000	580.775283	4880.000000	580.775283	4606.000000	580.775283	4538.000000	580.775283	4821.000000	580.775283	3835.000000	580.775283	7186.000000	580.775283	5144.000000	580.775283	4625.000000	580.775283	4188.000000	580.775283	3909.000000
581.494421	5971.000000	581.494421	4897.000000	581.494421	4656.000000	581.494421	4564.000000	581.494421	4891.000000	581.494421	3812.000000	581.494421	7152.000000	581.494421	5063.000000	581.494421	4492.000000	581.494421	4211.000000	581.494421	3924.000000
582.213495	5892.000000	582.213495	4910.000000	582.213495	4571.000000	582.213495	4412.000000	582.213495	4898.000000	582.213495	3911.000000	582.213495	7181.000000	582.213495	5194.000000	582.213495	4422.000000	582.213495	4142.000000	582.213495	3783.000000
582.932506	6029.000000	582.932506	4847.000000	582.932506	4697.000000	582.932506	4425.000000	582.932506	4950.000000	582.932506	3729.000000	582.932506	7254.000000	582.932506	5142.000000	582.932506	4572.000000	582.932506	4169.000000	582.932506	3858.000000
583.651453	5920.000000	583.651453	4919.000000	583.651453	4615.000000	583.651453	4462.000000	583.651453	4854.000000	583.651453	3798.000000	583.651453	7219.000000	583.651453	5046.000000	583.651453	4393.000000	583.651453	4155.000000	583.651453	3885.000000
584.370336	5676.000000	584.370336	4894.000000	584.370336	4607.000000	584.370336	4428.000000	584.370336	4749.000000	584.370336	3706.000000	584.370336	7288.000000	584.370336	5061.000000	584.370336	4376.000000	584.370336	4094.000000	584.370336	3828.000000
585.089156	5864.000000	585.089156	4775.000000	585.089156	4475.000000	585.089156	4404.000000	585.089156	4833.000000	585.089156	3752.000000	585.089156	7217.000000	585.089156	5041.000000	585.089156	4508.000000	585.089156	4167.000000	585.089156	3822.000000
585.807912	5887.000000	585.807912	4789.000000	585.807912	4518.000000	585.807912	4253.000000	585.807912	4714.000000	585.807912	3769.000000	585.807912	7085.000000	585.807912	5071.000000	585.807912	4503.000000	585.807912	4137.000000	585.807912	3816.000000
586.526605	5795.000000	586.526605	4859.000000	586.526605	4466.000000	586.526605	4346.000000	586.526605	4799.000000	586.526605	3718.000000	586.526605	7160.000000	586.526605	5126.000000	586.526605	4420.000000	586.526605	4105.000000	586.526605	3845.000000
587.245234	5825.000000	587.245234	4748.000000	587.245234	4531.000000	587.245234	4348.000000	587.245234	4809.000000	587.245234	3779.000000	587.245234	7172.000000	587.245234	5016.000000	587.245234	4449.000000	587.245234	4011.000000	587.245234	3797.000000
587.963800	5858.000000	587.963800	4746.000000	587.963800	4491.000000	587.963800	4343.000000	587.963800	4821.000000	587.963800	3581.000000	587.963800	7096.000000	587.963800	5131.000000	587.963800	4441.000000	587.963800	3964.000000	587.963800	3721.000000
588.682301	5658.000000	588.682301	4802.000000	588.682301	4465.000000	588.682301	4396.000000	588.682301	4664.000000	588.682301	3594.000000	588.682301	7118.000000	588.682301	5013.000000	588.682301	4376.000000	588.682301	4101.000000	588.682301	3787.000000
589.400740	5750.000000	589.400740	4767.000000	589.400740	4497.000000	589.400740	4280.000000	589.400740	4717.000000	589.400740	3660.000000	589.400740	7143.000000	589.400740	5099.000000	589.400740	4451.000000	589.400740	4097.000000	589.400740	3773.000000
590.119115	5715.000000	590.119115	4750.000000	590.119115	4413.000000	590.119115	4315.000000	590.119115	4716.000000	590.119115	3638.000000	590.119115	7077.000000	590.119115	5031.000000	590.119115	4414.000000	590.119115	4086.000000	590.119115	3772.000000
590.837426	5749.000000	590.837426	4689.000000	590.837426	4487.000000	590.837426	4243.000000	590.837426	4699.000000	590.837426	3602.000000	590.837426	7132.000000	590.837426	5056.000000	590.837426	4321.000000	590.837426	4003.000000	590.837426	3796.000000
