X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
571.420694	10487.000000	571.420694	8130.000000	571.420694	7055.000000	571.420694	6352.000000	571.420694	5900.000000	571.420694	5492.000000	571.420694	5224.000000	571.420694	5026.000000	571.420694	16258.000000	571.420694	11106.000000	571.420694	8832.000000	571.420694	7580.000000	571.420694	6755.000000	571.420694	6240.000000	571.420694	10422.000000	571.420694	7323.000000	571.420694	5669.000000	571.420694	5168.000000	571.420694	4877.000000	571.420694	4561.000000	571.420694	4637.000000	571.420694	4313.000000	571.420694	4281.000000
572.140660	10288.000000	572.140660	7908.000000	572.140660	6991.000000	572.140660	6331.000000	572.140660	5862.000000	572.140660	5415.000000	572.140660	5171.000000	572.140660	5133.000000	572.140660	16212.000000	572.140660	11214.000000	572.140660	8883.000000	572.140660	7537.000000	572.140660	6785.000000	572.140660	6334.000000	572.140660	10508.000000	572.140660	7162.000000	572.140660	5576.000000	572.140660	5094.000000	572.140660	4739.000000	572.140660	4679.000000	572.140660	4553.000000	572.140660	4311.000000	572.140660	4193.000000
572.860562	10342.000000	572.860562	7964.000000	572.860562	6869.000000	572.860562	6386.000000	572.860562	5724.000000	572.860562	5463.000000	572.860562	5268.000000	572.860562	5045.000000	572.860562	15996.000000	572.860562	11061.000000	572.860562	8924.000000	572.860562	7472.000000	572.860562	6879.000000	572.860562	6292.000000	572.860562	10227.000000	572.860562	7125.000000	572.860562	5617.000000	572.860562	5023.000000	572.860562	4842.000000	572.860562	4581.000000	572.860562	4436.000000	572.860562	4244.000000	572.860562	4110.000000
573.580401	10358.000000	573.580401	8136.000000	573.580401	6983.000000	573.580401	6234.000000	573.580401	5885.000000	573.580401	5383.000000	573.580401	5104.000000	573.580401	4943.000000	573.580401	16371.000000	573.580401	11150.000000	573.580401	8893.000000	573.580401	7520.000000	573.580401	6777.000000	573.580401	6134.000000	573.580401	10296.000000	573.580401	7286.000000	573.580401	5496.000000	573.580401	5142.000000	573.580401	4799.000000	573.580401	4589.000000	573.580401	4513.000000	573.580401	4207.000000	573.580401	4129.000000
574.300176	10345.000000	574.300176	7960.000000	574.300176	6876.000000	574.300176	6123.000000	574.300176	5816.000000	574.300176	5391.000000	574.300176	5081.000000	574.300176	4990.000000	574.300176	16123.000000	574.300176	11085.000000	574.300176	8872.000000	574.300176	7424.000000	574.300176	6773.000000	574.300176	6138.000000	574.300176	10406.000000	574.300176	7025.000000	574.300176	5561.000000	574.300176	5085.000000	574.300176	4846.000000	574.300176	4543.000000	574.300176	4326.000000	574.300176	4188.000000	574.300176	4114.000000
575.019887	10150.000000	575.019887	7923.000000	575.019887	6849.000000	575.019887	6247.000000	575.019887	5847.000000	575.019887	5295.000000	575.019887	5047.000000	575.019887	4995.000000	575.019887	15998.000000	575.019887	11064.000000	575.019887	8614.000000	575.019887	7429.000000	575.019887	6792.000000	575.019887	6244.000000	575.019887	10395.000000	575.019887	7164.000000	575.019887	5532.000000	575.019887	5016.000000	575.019887	4686.000000	575.019887	4540.000000	575.019887	4397.000000	575.019887	4183.000000	575.019887	3969.000000
575.739534	10200.000000	575.739534	7934.000000	575.739534	6750.000000	575.739534	6347.000000	575.739534	5742.000000	575.739534	5293.000000	575.739534	5063.000000	575.739534	4833.000000	575.739534	16083.000000	575.739534	11117.000000	575.739534	8813.000000	575.739534	7274.000000	575.739534	6614.000000	575.739534	6158.000000	575.739534	10461.000000	575.739534	7182.000000	575.739534	5447.000000	575.739534	5046.000000	575.739534	4782.000000	575.739534	4512.000000	575.739534	4456.000000	575.739534	4154.000000	575.739534	4131.000000
576.459118	10316.000000	576.459118	7934.000000	576.459118	6841.000000	576.459118	6111.000000	576.459118	5751.000000	576.459118	5274.000000	576.459118	5040.000000	576.459118	4856.000000	576.459118	16096.000000	576.459118	11065.000000	576.459118	8897.000000	576.459118	7361.000000	576.459118	6624.000000	576.459118	6063.000000	576.459118	10329.000000	576.459118	7068.000000	576.459118	5616.000000	576.459118	5093.000000	576.459118	4705.000000	576.459118	4489.000000	576.459118	4358.000000	576.459118	4231.000000	576.459118	4020.000000
577.178638	10158.000000	577.178638	7690.000000	577.178638	6943.000000	577.178638	6127.000000	577.178638	5688.000000	577.178638	5263.000000	577.178638	5125.000000	577.178638	4879.000000	577.178638	16287.000000	577.178638	11158.000000	577.178638	8791.000000	577.178638	7347.000000	577.178638	6675.000000	577.178638	6174.000000	577.178638	10290.000000	577.178638	7057.000000	577.178638	5612.000000	577.178638	4999.000000	577.178638	4561.000000	577.178638	4481.000000	577.178638	4357.000000	577.178638	4119.000000	577.178638	4030.000000
577.898094	10174.000000	577.898094	7886.000000	577.898094	6895.000000	577.898094	6046.000000	577.898094	5672.000000	577.898094	5282.000000	577.898094	4922.000000	577.898094	4780.000000	577.898094	16062.000000	577.898094	10954.000000	577.898094	8604.000000	577.898094	7340.000000	577.898094	6630.000000	577.898094	6167.000000	577.898094	10270.000000	577.898094	7001.000000	577.898094	5528.000000	577.898094	4997.000000	577.898094	4649.000000	577.898094	4541.000000	577.898094	4352.000000	577.898094	4189.000000	577.898094	3999.000000
